/mnt/media/2 B 3/The Toronto Sessions/01 Hip Hug-Her.mp3	Hip Hug-Her 	1 	2 B 3 	The Toronto Sessions 	2004 	 	Blues 	 	운암정의 아침 (instrumental) 	 	Various Artists 	食客, Volume 1 	2008-06-24 	Pastel Music 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/02 - Down in the Fire (Lost Sea).flac	Down in the Fire (Lost Sea) 	02 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	Down in the Fire (Lost Sea) 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/03 - Skull & Bones.flac	Skull & Bones 	03 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	Skull & Bones 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/04 - 123 Dupuy Street.flac	123 Dupuy Street 	04 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	123 Dupuy Street 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/05 - Surfer King.flac	Surfer King 	05 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	Surfer King 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/06 - Hiway,Fevers.flac	Hiway/Fevers 	06 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	Highway / Fevers 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/07 - DRMZ.flac	DRMZ 	07 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	Drmz 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/08 - The Twist.flac	The Twist 	08 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	The Twist 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/09 - Rte. 28,Believers.flac	Rte. 28/Believers 	09 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	Rte. 28 / Believers 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Believers [2011] [FLAC]/10 - Scenes from a Circus.flac	Scenes from a Circus 	10 	A.A. Bondy 	Believers 	2011 	 	Folk 	 	Scenes From a Circus 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Hand Made (EP) [2007]/01 The Devil's Beach.mp3	The Devil's Beach 	01 	A.A. Bondy 	Hand-Made E.P. 	2007 	 	Folk 	 	The Heart Is Willing 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Hand Made (EP) [2007]/02 I'm On Fire.mp3	I'm On Fire 	02 	A.A. Bondy 	Hand-Made E.P. 	2007 	 	Folk 	 	Down in the Fire (Lost Sea) 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Hand Made (EP) [2007]/03 A Murder Of Roses.mp3	A Murder of Roses 	03 	A.A. Bondy 	Hand-Made E.P. 	2007 	 	Folk 	 	Skull & Bones 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Hand Made (EP) [2007]/04 Mightiest of Guns.mp3	Mightiest of Guns 	04 	A.A. Bondy 	Hand-Made E.P. 	2007 	 	Folk 	 	123 Dupuy Street 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Hand Made (EP) [2007]/05 Against the Morning.mp3	Against the Morning 	05 	A.A. Bondy 	Hand-Made E.P. 	2007 	 	Folk 	 	Surfer King 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Hand Made (EP) [2007]/06 American Hearts.mp3	American Hearts 	06 	A.A. Bondy 	Hand-Made E.P. 	2007 	 	Folk 	 	Highway / Fevers 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/Hand Made (EP) [2007]/07 For a Kingdom.mp3	For a Kingdom 	07 	A.A. Bondy 	Hand-Made E.P. 	2007 	 	Folk 	 	Drmz 	 	A.A. Bondy 	Believers 	2011-09-13 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/When the Devil's Loose [2009] [FLAC]/01 - A.A. Bondy - Mightiest of Guns.flac	Mightiest of Guns 	01 	A.A. Bondy 	When the Devil's Loose 	2009 	 	 	 	Mightiest of Guns 	 	A.A. Bondy 	When the Devil's Loose 	2009-10-26 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/When the Devil's Loose [2009] [FLAC]/02 - A.A. Bondy - A Slow Parade.flac	A Slow Parade 	02 	A.A. Bondy 	When the Devil's Loose 	2009 	 	 	 	A Slow Parade 	 	A.A. Bondy 	When the Devil's Loose 	2009-10-26 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/When the Devil's Loose [2009] [FLAC]/03 - A.A. Bondy - When the Devil's Loose.flac	When the Devil's Loose 	03 	A.A. Bondy 	When the Devil's Loose 	2009 	 	 	 	When the Devil's Loose 	 	A.A. Bondy 	When the Devil's Loose 	2009-10-26 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/When the Devil's Loose [2009] [FLAC]/04 - A.A. Bondy - To the Morning.flac	To the Morning 	04 	A.A. Bondy 	When the Devil's Loose 	2009 	 	 	 	To the Morning 	 	A.A. Bondy 	When the Devil's Loose 	2009-10-26 	Fat Possum Records 	None 	 							
/mnt/media/AA Bondy/When the Devil's Loose [2009] [FLAC]/05 - A.A. Bondy - Oh the Vampyre.flac	Oh the Vampyre 	05 	A.A. Bondy 	When the Devil's Loose 	2009 	 	 	 	Oh the Vampyre 	 	A.A. Bondy 	When the Devil's Loose 	2009-10-26 	Fat Possum Records 	None 	 							
